"","int_vote_trump","voted_trump","int_vote_clinton","voted_clinton","lib_conserv_scale","white_voter","latino_voter","swing_voter","swing_trump","swing_hillary","region","age","religion_important_life"
"100",0,0,1,1,4,1,0,0,0,0,"Midwest",75,1
"101",1,1,0,0,4,1,0,0,0,0,"South",74,1
"102",0,0,1,1,4,1,0,0,0,0,"Northeast",43,0
"103",0,0,0,1,4,1,0,0,0,1,"South",58,0
"104",0,0,0,0,1,1,0,0,0,0,"Midwest",36,0
"105",1,0,0,0,7,1,0,1,0,0,"South",88,1
"106",1,1,0,0,5,1,0,0,0,0,"South",57,1
"107",0,0,1,1,2,1,0,0,0,0,"West",59,0
"108",1,0,0,0,6,1,0,1,0,0,"South",86,1
"109",0,0,0,0,1,1,1,0,0,0,"West",57,1
"110",0,0,0,0,5,1,1,0,0,0,"South",60,1
"111",0,0,1,1,2,1,0,0,0,0,"West",45,0
"112",1,0,0,0,4,1,0,1,0,0,"South",30,1
"113",1,0,0,0,6,1,0,1,0,0,"Northeast",78,1
"114",0,0,1,1,5,0,0,0,0,0,"South",72,1
"115",0,0,1,1,3,1,0,0,0,0,"West",36,0
"116",0,0,1,1,5,1,0,0,0,0,"Northeast",86,0
"117",0,0,1,1,2,1,0,0,0,0,"South",55,0
"118",0,0,1,1,2,0,0,0,0,0,"South",68,1
"119",0,0,1,1,2,1,0,0,0,0,"South",69,0
"120",1,1,0,0,4,1,0,0,0,0,"Northeast",62,1
"121",0,0,0,0,4,1,0,0,0,0,"Midwest",42,1
"122",0,1,0,0,4,1,0,1,1,0,"West",42,0
"123",1,0,0,0,4,1,0,1,0,0,"South",25,1
"124",1,1,0,0,6,0,1,0,0,0,"Northeast",55,0
"125",0,0,1,1,2,1,0,0,0,0,"Northeast",76,1
"126",0,0,1,1,1,1,0,0,0,0,"South",31,0
"127",0,0,1,1,2,1,1,0,0,0,"Midwest",35,0
"128",0,0,1,1,6,0,0,0,0,0,"South",25,1
"129",0,0,0,0,6,0,0,0,0,0,"South",34,1
"130",1,1,0,0,5,1,0,0,0,0,"South",73,1
"131",0,0,1,1,4,1,0,0,0,0,"West",52,1
"132",1,0,0,0,4,1,0,1,0,0,"Midwest",66,1
"133",0,0,1,1,4,1,0,0,0,0,"Northeast",65,0
"134",1,1,0,0,5,1,0,0,0,0,"South",45,1
"135",0,0,1,1,2,1,0,0,0,0,"Northeast",37,0
"136",1,1,0,0,6,1,0,0,0,0,"South",74,1
"137",0,0,0,0,4,0,0,0,0,0,"Northeast",28,1
"138",0,0,1,1,4,0,0,0,0,0,"South",57,1
"139",0,1,1,0,3,1,0,1,1,0,"Midwest",24,0
"140",1,1,0,0,3,1,0,0,0,0,"Midwest",43,0
"141",0,1,0,0,4,1,0,1,1,0,"Northeast",58,1
"142",0,0,0,1,4,0,0,0,0,1,"West",57,1
"143",0,0,0,1,5,0,0,0,0,1,"South",30,1
"144",1,1,0,0,4,1,0,0,0,0,"Midwest",87,1
"145",1,1,0,0,6,1,0,0,0,0,"West",56,0
"146",0,0,0,0,6,1,0,0,0,0,"Midwest",23,0
"147",0,0,0,0,6,1,1,0,0,0,"West",71,1
"148",0,0,1,1,2,1,0,0,0,0,"West",19,0
"149",0,0,0,0,4,1,0,0,0,0,"Midwest",44,0
"150",0,0,0,0,4,1,0,0,0,0,"West",21,0
"151",0,0,1,0,3,0,1,0,0,0,"West",23,1
"152",0,0,1,0,3,1,0,0,0,0,"South",41,0
"153",1,1,0,0,7,1,0,0,0,0,"South",78,1
"154",0,0,0,0,6,0,1,0,0,0,"South",74,1
"155",0,0,0,0,4,1,0,0,0,0,"Midwest",40,1
"156",1,0,0,0,6,1,0,1,0,0,"South",53,0
"157",1,1,0,0,7,1,0,0,0,0,"South",63,1
"158",1,1,0,0,6,1,0,0,0,0,"West",65,1
"159",1,1,0,0,4,1,0,0,0,0,"South",64,1
"160",0,0,1,1,6,1,0,0,0,0,"South",24,0
"161",0,0,1,1,4,0,0,0,0,0,"South",50,1
"162",0,0,0,0,5,0,0,0,0,0,"South",23,1
"163",0,0,1,0,2,1,0,0,0,0,"South",25,0
"164",1,0,0,0,5,1,0,1,0,0,"South",44,1
"165",0,0,1,1,1,1,0,0,0,0,"West",76,0
"166",0,0,0,0,5,1,0,0,0,0,"Midwest",68,1
"167",0,0,1,0,4,0,0,0,0,0,"West",21,0
"168",0,0,0,0,6,1,0,0,0,0,"South",67,1
"169",1,1,0,0,6,1,0,0,0,0,"Midwest",68,1
"170",0,0,1,1,1,0,0,0,0,0,"Northeast",35,0
"171",1,1,0,0,5,1,0,0,0,0,"West",61,0
"172",0,0,1,1,2,1,0,0,0,0,"South",25,0
"173",1,1,0,0,3,1,0,0,0,0,"Midwest",67,1
"174",0,0,0,0,6,1,0,0,0,0,"South",69,1
"175",1,1,0,0,4,1,0,0,0,0,"Northeast",68,1
"176",1,1,0,0,7,1,0,0,0,0,"South",62,1
"177",1,1,0,0,6,1,0,0,0,0,"Midwest",69,1
"178",1,1,0,0,6,1,0,0,0,0,"South",85,1
"179",1,0,0,1,5,1,0,1,0,1,"South",26,1
"180",0,0,1,1,2,1,0,0,0,0,"West",54,0
"181",0,0,1,0,3,1,0,0,0,0,"Midwest",68,1
"182",1,0,0,0,6,1,0,1,0,0,"Midwest",45,1
"183",0,0,0,1,4,1,0,0,0,1,"South",60,1
"184",0,0,0,0,6,1,0,0,0,0,"Midwest",53,1
"185",1,1,0,0,6,1,0,0,0,0,"South",70,1
"186",1,0,0,0,7,1,0,1,0,0,"South",75,1
"187",1,1,0,0,7,1,0,0,0,0,"South",57,1
"188",1,1,0,0,4,1,0,0,0,0,"Northeast",59,1
"189",0,0,1,1,2,1,1,0,0,0,"South",76,0
"190",0,0,1,0,4,1,1,0,0,0,"West",61,1
"191",0,0,1,1,3,0,1,0,0,0,"South",20,1
"192",1,1,0,0,5,1,0,0,0,0,"South",62,1
"193",0,0,1,1,5,1,0,0,0,0,"Midwest",40,1
"194",0,0,1,1,4,0,0,0,0,0,"Northeast",24,0
"195",1,0,0,0,6,1,0,1,0,0,"South",47,1
"196",0,0,0,1,2,1,0,0,0,1,"West",24,0
"197",0,0,1,1,3,0,0,0,0,0,"South",63,1
"198",0,0,0,0,1,0,0,0,0,0,"Northeast",32,1
"199",0,0,1,1,4,1,1,0,0,0,"West",51,1
