"int_vote_trump","voted_trump","int_vote_clinton","voted_clinton","lib_conserv_scale","white_voter","latinx_voter","swing_voter","swing_trump","swing_hillary","region","age","religion_important_life"
1,1,0,0,-0.103250366536238,1,0,0,0,0,"South",27,1
1,0,0,0,0.521501851318627,1,1,1,0,0,"South",43,1
0,0,0,0,-0.103250366536238,0,0,0,0,0,"West",33,0
0,0,0,0,-0.103250366536238,1,0,0,0,0,"West",87,1
0,0,0,0,1.14625406917349,1,0,0,0,0,"West",26,1
0,0,1,0,-0.728002584391104,0,1,0,0,0,"South",34,1
0,0,1,1,-1.35275480224597,1,0,0,0,0,"South",33,0
1,1,0,0,1.14625406917349,1,0,0,0,0,"South",57,1
0,0,0,0,-0.103250366536238,1,0,0,0,0,"West",27,1
1,1,0,0,0.521501851318627,0,1,0,0,0,"West",38,1
0,0,0,0,-0.103250366536238,1,0,0,0,0,"Northeast",51,1
0,0,1,1,-0.103250366536238,1,0,0,0,0,"Midwest",75,1
1,1,0,0,-0.103250366536238,1,0,0,0,0,"South",74,1
0,0,1,1,-0.103250366536238,1,0,0,0,0,"Northeast",43,0
0,0,0,1,-0.103250366536238,1,0,0,0,1,"South",58,0
0,0,0,0,-1.97750702010084,1,0,0,0,0,"Midwest",36,0
1,0,0,0,1.77100628702836,1,0,1,0,0,"South",88,1
1,1,0,0,0.521501851318627,1,0,0,0,0,"South",57,1
0,0,1,1,-1.35275480224597,1,0,0,0,0,"West",59,0
1,0,0,0,1.14625406917349,1,0,1,0,0,"South",86,1
0,0,0,0,-1.97750702010084,1,1,0,0,0,"West",57,1
0,0,0,0,0.521501851318627,1,1,0,0,0,"South",60,1
0,0,1,1,-1.35275480224597,1,0,0,0,0,"West",45,0
1,0,0,0,-0.103250366536238,1,0,1,0,0,"South",30,1
1,0,0,0,1.14625406917349,1,0,1,0,0,"Northeast",78,1
0,0,1,1,0.521501851318627,0,0,0,0,0,"South",72,1
0,0,1,1,-0.728002584391104,1,0,0,0,0,"West",36,0
0,0,1,1,0.521501851318627,1,0,0,0,0,"Northeast",86,0
0,0,1,1,-1.35275480224597,1,0,0,0,0,"South",55,0
0,0,1,1,-1.35275480224597,0,0,0,0,0,"South",68,1
0,0,1,1,-1.35275480224597,1,0,0,0,0,"South",69,0
1,1,0,0,-0.103250366536238,1,0,0,0,0,"Northeast",62,1
0,0,0,0,-0.103250366536238,1,0,0,0,0,"Midwest",42,1
0,1,0,0,-0.103250366536238,1,0,1,1,0,"West",42,0
1,0,0,0,-0.103250366536238,1,0,1,0,0,"South",25,1
1,1,0,0,1.14625406917349,0,1,0,0,0,"Northeast",55,0
0,0,1,1,-1.35275480224597,1,0,0,0,0,"Northeast",76,1
0,0,1,1,-1.97750702010084,1,0,0,0,0,"South",31,0
0,0,1,1,-1.35275480224597,1,1,0,0,0,"Midwest",35,0
0,0,1,1,1.14625406917349,0,0,0,0,0,"South",25,1
0,0,0,0,1.14625406917349,0,0,0,0,0,"South",34,1
1,1,0,0,0.521501851318627,1,0,0,0,0,"South",73,1
0,0,1,1,-0.103250366536238,1,0,0,0,0,"West",52,1
1,0,0,0,-0.103250366536238,1,0,1,0,0,"Midwest",66,1
0,0,1,1,-0.103250366536238,1,0,0,0,0,"Northeast",65,0
1,1,0,0,0.521501851318627,1,0,0,0,0,"South",45,1
0,0,1,1,-1.35275480224597,1,0,0,0,0,"Northeast",37,0
1,1,0,0,1.14625406917349,1,0,0,0,0,"South",74,1
0,0,0,0,-0.103250366536238,0,0,0,0,0,"Northeast",28,1
0,0,1,1,-0.103250366536238,0,0,0,0,0,"South",57,1
0,1,1,0,-0.728002584391104,1,0,1,1,0,"Midwest",24,0
1,1,0,0,-0.728002584391104,1,0,0,0,0,"Midwest",43,0
0,1,0,0,-0.103250366536238,1,0,1,1,0,"Northeast",58,1
0,0,0,1,-0.103250366536238,0,0,0,0,1,"West",57,1
